sec_cde	sec_name	list_date	mkt_sort
825	太钢不锈	1998/10/21	s
826	启迪环境	1998/2/25	s
828	东莞控股	1997/6/17	s
829	天音控股	1997/12/2	s
830	鲁西化工	1998/8/7	s
831	五矿稀土	1998/9/11	s
833	粤桂股份	1998/11/11	s
835	*ST长动	1999/6/25	s
836	富通信息	1997/9/29	s
837	秦川机床	1998/9/28	s
838	财信发展	1997/6/26	s
839	中信国安	1997/10/31	s
848	承德露露	1997/11/13	s
850	华茂股份	1998/10/7	s
851	高鸿股份	1998/6/9	s
852	石化机械	1998/11/26	s
856	冀东装备	1998/8/13	s
858	五 粮 液	1998/4/27	s
859	国风塑业	1998/11/19	s
860	顺鑫农业	1998/11/4	s
861	海印股份	1998/10/28	s
862	银星能源	1998/9/15	s
863	三湘印象	1997/9/25	s
868	安凯客车	1997/7/25	s
869	张  裕Ａ	2000/10/26	s
875	吉电股份	2002/9/26	s
876	新 希 望	1998/3/11	s
877	天山股份	1999/1/7	s
878	云南铜业	1998/6/2	s
880	潍柴重机	1998/4/2	s
881	中广核技	1998/9/2	s
882	华联股份	1998/6/16	s
883	湖北能源	1998/5/19	s
885	城发环境	1999/3/19	s
886	海南高速	1998/1/23	s
887	中鼎股份	1998/12/3	s
888	峨眉山Ａ	1997/10/21	s
889	中嘉博创	1997/12/18	s
890	法尔胜	1999/1/19	s
892	欢瑞世纪	1999/1/15	s
893	亚钾国际	1998/12/24	s
895	双汇发展	1998/12/10	s
897	津滨发展	1999/4/22	s
898	鞍钢股份	1997/12/25	s
899	赣能股份	1997/11/26	s
900	现代投资	1999/1/28	s
901	航天科技	1999/4/1	s
902	新洋丰	1999/4/8	s
903	云内动力	1999/4/15	s
905	厦门港务	1999/4/29	s
906	浙商中拓	1999/7/7	s
908	景峰医药	1999/2/3	s
909	数源科技	1999/5/7	s
910	大亚圣象	1999/6/30	s
911	南宁糖业	1999/5/27	s
912	泸天化	1999/6/3	s
913	钱江摩托	1999/5/14	s
915	华特达因	1999/6/9	s
917	电广传媒	1999/3/25	s
918	嘉凯城	1999/7/20	s
919	金陵药业	1999/11/18	s
920	南方汇通	1999/6/16	s
921	海信家电	1999/7/13	s
922	佳电股份	1999/6/18	s
923	河钢资源	1999/7/14	s
925	众合科技	1999/6/11	s
926	福星股份	1999/6/18	s
927	中国铁物	1999/7/27	s
928	中钢国际	1999/3/12	s
929	兰州黄河	1999/6/23	s
930	中粮科技	1999/7/12	s
931	中 关 村	1999/7/12	s
932	华菱钢铁	1999/8/3	s
933	神火股份	1999/8/31	s
935	四川双马	1999/8/24	s
936	华西股份	1999/8/10	s
937	冀中能源	1999/9/9	s
938	紫光股份	1999/11/4	s
948	南天信息	1999/10/14	s
949	新乡化纤	1999/10/21	s
950	重药控股	1999/9/16	s
951	中国重汽	1999/11/25	s
952	广济药业	1999/11/12	s
953	河化股份	1999/12/2	s
955	欣龙控股	1999/12/9	s
957	中通客车	2000/1/13	s
958	东方能源	1999/12/23	s
959	首钢股份	1999/12/16	s
960	锡业股份	2000/2/21	s
961	中南建设	2000/3/1	s
962	东方钽业	2000/1/20	s
963	华东医药	2000/1/27	s
965	天保基建	2000/4/6	s
966	长源电力	2000/3/16	s
967	盈峰环境	2000/3/30	s
968	蓝焰控股	2000/6/22	s
969	安泰科技	2000/5/29	s
970	中科三环	2000/4/20	s
971	*ST高升	2000/4/27	s
972	*ST中基	2000/9/26	s
973	佛塑科技	2000/5/25	s
975	银泰黄金	2000/6/8	s
976	华铁股份	2000/6/1	s
977	浪潮信息	2000/6/8	s
978	桂林旅游	2000/5/18	s
980	*ST众泰	2000/6/16	s
981	*ST银亿	2000/6/22	s
982	*ST 中绒	2000/7/6	s
983	山西焦煤	2000/7/26	s
985	大庆华科	2000/7/26	s
987	越秀金控	2000/7/18	s
988	华工科技	2000/6/8	s
989	九 芝 堂	2000/6/28	s
990	诚志股份	2000/7/6	s
993	闽东电力	2000/7/31	s
995	皇台酒业	2000/8/7	s
996	中国中期	2000/7/18	s
997	新 大 陆	2000/8/7	s
998	隆平高科	2000/12/11	s
999	华润三九	2000/3/9	s
1201	东瑞股份	2021/4/28	s
1202	炬申股份	2021/4/29	s
1203	大中矿业	2021/5/10	s
1205	盛航股份	2021/5/13	s
1206	依依股份	2021/5/18	s
1696	宗申动力	1997/3/6	s
1872	招商港口	1993/5/5	s
1896	豫能控股	1998/1/22	s
1914	招商积余	1994/9/28	s
1965	招商公路	2017/12/25	s
1979	招商蛇口	2015/12/30	s
2001	新 和 成	2004/6/25	s
2002	鸿达兴业	2004/6/25	s
2003	伟星股份	2004/6/25	s
2004	华邦健康	2004/6/25	s
2005	ST德豪	2004/6/25	s
2006	精功科技	2004/6/25	s
2007	华兰生物	2004/6/25	s
2008	大族激光	2004/6/25	s
2009	天奇股份	2004/6/29	s
2010	传化智联	2004/6/29	s
2011	盾安环境	2004/7/5	s
2012	凯恩股份	2004/7/5	s
2013	中航机电	2004/7/5	s
2014	永新股份	2004/7/8	s
2015	协鑫能科	2004/7/8	s
2016	世荣兆业	2004/7/8	s
2017	东信和平	2004/7/13	s
2019	亿帆医药	2004/7/13	s
2020	京新药业	2004/7/15	s
2021	ST中捷	2004/7/15	s
2022	科华生物	2004/7/21	s
2023	海特高新	2004/7/21	s
2024	苏宁易购	2004/7/21	s
2025	航天电器	2004/7/26	s
2026	山东威达	2004/7/27	s
2027	分众传媒	2004/8/4	s
2028	思源电气	2004/8/5	s
2029	七 匹 狼	2004/8/6	s
2030	达安基因	2004/8/9	s
2031	巨轮智能	2004/8/16	s
2032	苏 泊 尔	2004/8/17	s
2033	丽江股份	2004/8/25	s
2034	旺能环境	2004/8/26	s
2035	华帝股份	2004/9/1	s
2036	联创电子	2004/9/3	s
2037	保利联合	2004/9/8	s
2038	双鹭药业	2004/9/9	s
2039	黔源电力	2005/3/3	s
2040	南 京 港	2005/3/25	s
2041	登海种业	2005/4/18	s
2042	华孚时尚	2005/4/27	s
2043	兔 宝 宝	2005/5/10	s
2044	美年健康	2005/5/18	s
2045	国光电器	2005/5/23	s
2046	国机精工	2005/5/26	s
2047	宝鹰股份	2005/5/31	s
2048	宁波华翔	2005/6/3	s
2049	紫光国微	2005/6/6	s
2050	三花智控	2005/6/7	s
2051	中工国际	2006/6/19	s
2052	*ST同洲	2006/6/27	s
2053	云南能投	2006/6/27	s
2054	德美化工	2006/7/25	s
2055	得润电子	2006/7/25	s
2056	横店东磁	2006/8/2	s
2057	中钢天源	2006/8/2	s
2058	*ST威尔	2006/8/2	s
2059	云南旅游	2006/8/10	s
2060	粤 水 电	2006/8/10	s
2061	浙江交科	2006/8/16	s
2062	宏润建设	2006/8/16	s
2063	远光软件	2006/8/23	s
2064	华峰化学	2006/8/23	s
2065	东华软件	2006/8/23	s
2066	瑞泰科技	2006/8/23	s
2067	景兴纸业	2006/9/15	s
2068	黑猫股份	2006/9/15	s
2069	獐子岛	2006/9/28	s
2072	*ST凯瑞	2006/10/18	s
2073	软控股份	2006/10/18	s
2074	国轩高科	2006/10/18	s
2075	沙钢股份	2006/10/25	s
2076	*ST雪莱	2006/10/25	s
2077	*ST大港	2006/11/16	s
2078	太阳纸业	2006/11/16	s
2079	苏州固锝	2006/11/16	s
2080	中材科技	2006/11/20	s
2081	金 螳 螂	2006/11/20	s
